کد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,کد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مکان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
98923​,آیین زندگی (اخلاق کاربردی),نظري,2,0,169892306​,خواهران,سه شنبه از 09:15 تا 11:00,مرتضی حق شناس,,45,,1405/10/23 از 16:30 تا 18:00,علوم انسانی-8,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98923​,آیین زندگی (اخلاق کاربردی),نظري,2,0,1639892305​,خواهران,سه شنبه از 07:30 تا 09:15,مرتضی حق شناس,,45,,1405/10/23 از 16:30 تا 18:00,علوم انسانی-8,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98923​,آیین زندگی (اخلاق کاربردی),نظري,2,0,1639892304​,خواهران,سه شنبه از 15:00 تا 16:45,مرتضی حق شناس,,45,,1405/10/23 از 16:30 تا 18:00,علوم انسانی-9,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128​,دانش خانواده و جمعیت,نظري,2,0,16390128332​,برادران,چهارشنبه از 16:45 تا 18:30,سید خداکرم فلاحی,,45,,1405/10/24 از 16:30 تا 18:00,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128​,دانش خانواده و جمعیت,نظري,2,0,1639012831​,برادران,چهارشنبه از 15:00 تا 16:45,سید خداکرم فلاحی,,45,,1405/10/24 از 16:30 تا 18:00,هنر و معماری-108,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128​,دانش خانواده و جمعیت,نظري,2,0,1639012830​,برادران,سه شنبه از 13:15 تا 15:00,صدراله جمشیدی,,45,,1405/10/24 از 16:30 تا 18:00,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128​,دانش خانواده و جمعیت,نظري,2,0,1639012829​,برادران,سه شنبه از 11:00 تا 11:45 سه شنبه از ...,صدراله جمشیدی,,45,,1405/10/23 از 16:30 تا 18:00,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961​,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896119​,برادران,چهارشنبه از 13:15 تا 15:00,سید خداکرم فلاحی,,45,,1405/10/23 از 16:30 تا 18:00,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907341​,خواهران,چهارشنبه از 16:45 تا 18:30,ژيلا عباسي,,45,,1405/10/20 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907340​,خواهران,چهارشنبه از 15:00 تا 16:45,ژيلا عباسي,,45,,1405/10/20 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907339​,خواهران,چهارشنبه از 13:15 تا 15:00,ژيلا عباسي,,45,,1405/10/20 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907338​,خواهران,چهارشنبه از 11:00 تا 11:45 چهارشنبه از ...,ژيلا عباسي,,45,,1405/10/20 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907337​,خواهران,پنج شنبه از 16:45 تا 18:30,ژيلا عباسي,,45,,1405/10/20 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907336​,خواهران,پنج شنبه از 15:00 تا 16:45,ژيلا عباسي,,45,,1405/10/20 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907335​,خواهران,پنج شنبه از 13:15 تا 15:00,ژيلا عباسي,,45,,1405/10/20 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907334​,خواهران,پنج شنبه از 11:00 تا 11:45 پنج شنبه از ...,ژيلا عباسي,,45,,1405/10/20 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238136​,خواهران,دوشنبه از 11:00 تا 11:45 دوشنبه از از ...,مجتبی اشرافی,,45,,1405/10/24 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238135​,خواهران,دوشنبه از 13:15 تا 15:00,مجتبی اشرافی,,45,,1405/10/24 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075549​,خواهران,سه شنبه از 16:45 تا 18:30,احمدرضا حبیبی اردکانی,,45,,1405/10/13 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075548​,برادران,دوشنبه از 16:45 تا 18:30,احمدرضا حبیبی اردکانی,,45,,1405/10/13 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075547​,خواهران,دوشنبه از 15:00 تا 16:45,احمدرضا حبیبی اردکانی,,45,,1405/10/13 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075546​,برادران,دوشنبه از 13:15 تا 15:00,احمدرضا حبیبی اردکانی,,45,,1405/10/13 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55139​,کارآفرینی,نظري,3,0,3443,,دوشنبه از 07:30 تا 10:00,,,25,,1405/10/14 از 10:00 تا 12:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
55139​,کارآفرینی,نظري,3,0,3441,,شنبه از 07:30 تا 10:00,,,25,,1405/10/14 از 10:00 تا 12:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
2205166984​,روش تدریس علوم تجربی و اجتماعی,نظري_عملي,1,1,3407,,چهارشنبه از 07:30 تا 11:00,,,20,,1405/10/19 از 08:00 تا 10:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
2205142209​,قصه گویی و نمایش خلاق,نظري_عملي,1,1,3406,,سه شنبه از 18:00 تا 19:45,,,20,,1405/10/17 از 08:00 تا 10:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
2205183285​,حرکات ورزشی و سرود های کودکان,نظري_عملي,1,1,3404,,چهارشنبه از 11:00 تا 14:30,,,20,,1405/10/14 از 08:00 تا 10:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
2205184582​,اموزش هنر ( کاردستی و نقاشی ),نظري_عملي,2,1,3405,,دوشنبه از 12:30 تا 15:00,,,20,,1405/10/24 از 08:00 تا 10:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
2205112579​,بهداشت روانی,نظري,2,0,3403,,,امیر محسنی آهویی,,20,,1405/10/13 از 08:00 تا 10:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
2205183281​,روان شناسی کودکان نابهنجار,نظري,2,0,3402,,سه شنبه از 10:00 تا 12:00,,,20,,1405/10/12 از 08:00 تا 10:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
2205100961​,ادبیات کودکان,نظري,2,0,3401,,سه شنبه از 16:15 تا 18:00,,,20,,1405/10/14 از 08:00 تا 10:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99041​,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904122​,برادران,دوشنبه از 11:00 تا 11:45 دوشنبه از از ...,عبدالعلی تجرد,,45,,1405/10/19 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99041​,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904121​,برادران,دوشنبه از 09:15 تا 11:00,عبدالعلی تجرد,,45,,1405/10/19 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99041​,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904120​,برادران,دوشنبه از 07:30 تا 09:15,عبدالعلی تجرد,,45,,1405/10/19 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238122​,خواهران,سه شنبه از 11:00 تا 11:45 سه شنبه از ...,عبدالعلی تجرد,,45,,1405/10/24 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238121​,خواهران,سه شنبه از 09:15 تا 11:00,عبدالعلی تجرد,,45,,1405/10/24 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238125​,خواهران,شنبه از 13:15 تا 15:00,جعفر شریفی,,45,,1405/10/24 از 16:30 تا 18:00,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238124​,خواهران,شنبه از 09:15 تا 11:00,جعفر شریفی,,45,,1405/10/24 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238123​,برادران,شنبه از 11:00 تا 11:45 شنبه از از ...,جعفر شریفی,,45,,1405/10/24 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238126​,خواهران,شنبه از 07:30 تا 09:15,جعفر شریفی,,45,,1405/10/24 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
7000038270​,الگوریتم های موازی,نظري,3,0,163330654​,,چهارشنبه از 07:30 تا 10:15,امین اسکندری,,0,,1405/10/16 از 08:00 تا 10:00,مهندسی یک-118,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
7000038374​,بهینه سازی فرا ابتکاری,نظري,3,0,163330680​,,چهارشنبه از 07:30 تا 10:15,الهام پروین نیا,,0,,1405/10/09 از 08:00 تا 10:00,مهندسی یک-19 کارگاه کامپیوتر,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889181254​,بهداشت وصیانت از محیط زیست,نظري,2,0,3353,,,سید محمد حجی خراسانی.,,10,,1405/10/15 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889181254​,بهداشت وصیانت از محیط زیست,نظري,2,0,3352,,,حمیده ادراکی,,35,,1405/10/15 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889181254​,بهداشت وصیانت از محیط زیست,نظري,2,0,3351,,شنبه از 12:45 تا 14:30,حمیده ادراکی,,35,,1405/10/15 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889130047​,ریاضی عمومی,نظري,2,0,3348,,,سید محمد حجی خراسانی.,,25,,1405/10/15 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889156275​,کارآفرینی,كارگاهي,1,1,3344,,دوشنبه از 10:00 تا 12:30,,,25,,1405/10/14 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889156275​,کارآفرینی,كارگاهي,1,1,3342,,شنبه از 10:00 تا 12:30,,,25,,1405/10/14 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889142209​,قصه گویی و نمایش خلاق,عملي,0,1,3313,,سه شنبه از 18:00 تا 19:45,جواد اسکندری,,25,,1405/10/17 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889100961​,ادبیات کودکان,نظري,2,0,3312,,سه شنبه از 16:15 تا 18:00,جواد اسکندری,,25,,1405/10/14 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889205916​,برنامه ریزی آموزش حرکات ورزشی واصلاحی کودکان,كارگاهي,1,1,3311,,چهارشنبه از 11:00 تا 14:30,مهناز زارع,,25,,1405/10/14 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889205922​,برنامه ریزی آموزش مفاهیم اجتماعی ودینی پیش از دبستان,كارگاهي,1,2,3310,,دوشنبه از 15:00 تا 20:00,مهناز زارع,,25,,1405/10/13 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889205920​,برنامه ریزی آموزش مفاهیم علوم تجربی، پیش از دبستان,كارگاهي,1,1,3309,,چهارشنبه از 07:30 تا 11:00,مهناز زارع,,25,,1405/10/19 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889131876​,زیست شناسی,نظري,3,0,3308,,دوشنبه از 07:30 تا 10:00,هانیه نوذری,,35,,1405/10/16 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889205917​,پرورش مهارت های آموزش موسیقی وسرود های خاص به کودکان,عمليات صحرايي,0,1,3307,,,مهناز زارع,,20,,1405/10/08 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889205861​,طراحی فضای خلاق در مراکز پیش از دبستان,كارگاهي,0,1,3306,,سه شنبه از 14:30 تا 16:15,جواد اسکندری,,25,,1405/10/05 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889128683​,روشهای‌ آماری‌ در علوم‌ تربیتی‌,نظري,2,0,3305,,,علیرضا عقیلی,,25,,1405/10/20 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
4774112658​,بهداشت مدارس,نظري,2,0,3304,,,امیر محسنی آهویی,,20,,1405/10/22 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889205925​,اصول سرپرستی در مراکز پیش از دبستان,نظري,2,0,3303,,,امیر محسنی آهویی,,20,,1405/10/23 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889205909​,پرورش مهارت های آموزش بازی به کودکان,كارگاهي,2,1,3302,,چهارشنبه از 14:30 تا 19:00,مهناز زارع,,20,,1405/10/12 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5889205966​,حجم‌سازی و سفالگری با دست,كارگاهي,1,1,3301,,دوشنبه از 12:30 تا 15:00,مهناز زارع,,20,,1405/10/24 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي علوم تربيتي(7116321),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050101499​,آزمایشگاه فیزیک‌ عمومی‌,آزمايشگاهي,0,1,2250,,,سید محمد حجی خراسانی.,,20,,1405/10/06 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050141457​,فیزیک‌ عمومی‌,نظري,2,0,2249,,,سید محمد حجی خراسانی.,,20,,1405/10/14 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050130047​,ریاضی عمومی,نظري,3,0,2248,,,سید محمد حجی خراسانی.,,20,,1405/10/13 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5746156275​,کارآفرینی,نظري_عملي,2,1,2243,,دوشنبه از 07:30 تا 10:00,,,20,,1405/10/14 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
5746156275​,کارآفرینی,نظري_عملي,2,1,2241,,شنبه از 07:30 تا 10:00,,,20,,1405/10/14 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050112563​,بهداشت خانواده و مدارس,نظري,2,0,2208,,يكشنبه از 09:15 تا 11:00,سیدجواد شمس نیا,,20,,1405/10/19 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050100252​,اپدمیولوژی بیماریهای کودکان,نظري,3,0,2207,,سه شنبه از 07:30 تا 10:00,سیدجواد شمس نیا,,20,,1405/10/16 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050110076​,ایمنی شناسی و مصون‌سازی,نظري_عملي,1,1,2206,,يكشنبه از 11:00 تا 14:30,سیدجواد شمس نیا,,20,,1405/10/15 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050153309​,نشانه شناسی,نظري,2,0,2205,,يكشنبه از 07:30 تا 09:15,سیدجواد شمس نیا,,20,,1405/10/13 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050108496​,آموزشی عملی در کلینیک تخصصی,عملي,0,3,2204,,,سید محمد حجی خراسانی.,,20,,1405/10/05 از 10:00 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050108351​,آموزش عملی بهداشت درمدارس,عملي,0,4,2203,,شنبه از 13:00 تا 16:00,سید محمد حجی خراسانی.,,20,,1405/10/05 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050161922​,کودکان استثنایی,نظري,2,0,2202,,سه شنبه از 10:00 تا 12:00,سیدجواد شمس نیا,,20,,1405/10/12 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1050107757​,آمارحیاتی,نظري,2,0,2201,,,علیرضا عقیلی,,20,,1405/10/05 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1068156275​,کارآفرینی,نظري,3,0,6644,,دوشنبه از 10:00 تا 12:30,حمیده ادراکی,,35,,1405/10/14 از 10:00 تا 12:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1068156275​,کارآفرینی,نظري,3,0,6643,,دوشنبه از 07:30 تا 10:00,حمیده ادراکی,,35,,1405/10/14 از 10:00 تا 12:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
1068156275​,کارآفرینی,نظري,3,0,6642,,شنبه از 10:00 تا 12:30,حمیده ادراکی,,35,,1405/10/14 از 10:00 تا 12:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
